Name,TotalApps,TotalAdmit,TotalEnroll,SATPercent,ACTPercent,SAT25,SAT75,ACT25,ACT75,AssocDegree,PercentAdmit,Tuition14,InStateTuition14,OutofStateTuition14,State,Region,Type,Location,UnderGradEnroll,FTUnderGradEnroll,PTUnderGradEnroll,BlackPercent,LatinPercent,WomenPercent,4yrGradRate,5yrGradRate,6yrGradRate,FinAidPercent,AnyFinAidPercent,FedGrantPercent,PellGrantPercent
Barnard College,5606,1151,580,73,47,620,730,28,32,0,21,44790,61512,61512,New York,Mid East,Private,Large City,2489,2463,26,5,11,100,82,88,90,49,40,18,18
Barry University,7845,3670,576,77,40,420,520,17,21,0,47,28160,45100,45100,Florida,Southeast,Private,Large Suburb,4341,3619,722,32,29,62,22,35,37,97,96,66,63
Barton College,2933,1225,217,77,63,410,500,18,22,0,42,25396,39254,39254,North Carolina,Southeast,Private,Fringe Town,1057,900,157,25,4,69,41,47,48,100,100,53,52
Bay Path College,908,523,135,96,7,430,550,18,22,55,58,29959,44559,44559,Massachusetts,New England,Private,Large Suburb,1458,1179,279,12,15,100,46,53,55,100,100,52,52
Baylor University,29249,16809,3190,49,51,550,660,24,29,0,57,35972,53886,53886,Texas,Southwest,Private,Midsize City,13292,13059,233,7,14,58,57,73,75,96,95,18,18
Becker College,3936,2462,361,89,12,450,550,19,24,103,63,31500,47160,47160,Massachusetts,New England,Private,Midsize City,1902,1449,453,8,9,57,16,24,24,100,100,36,36
Belhaven University,2280,1104,281,19,57,452,620,19,25,27,48,19970,34472,34472,Mississippi,Southeast,Private,Midsize City,2749,1242,1507,40,5,62,25,36,37,100,98,44,44
Bellarmine University,4160,3943,676,24,92,490,590,22,27,0,95,34890,52574,52574,Kentucky,Southeast,Private,Large City,2593,2378,215,4,3,64,53,65,66,100,100,27,27
Belmont Abbey College,2197,1485,283,66,37,428,540,18,24,0,68,18500,32564,32564,North Carolina,Southeast,Private,Midsize Suburb,1647,1549,98,27,2,58,33,38,38,100,99,36,36
Belmont University,5111,4082,1248,43,78,540,640,24,29,0,80,27380,43030,43030,Tennessee,Southeast,Private,Large City,5506,5117,389,4,4,60,56,67,68,87,75,15,15
Beloit College,2253,1525,300,39,72,550,710,24,30,0,68,41250,50406,50406,Wisconsin,Great Lakes,Private,Small City,1306,1254,52,4,8,59,70,78,78,96,95,18,18
Benedictine College,3515,2129,494,14,84,515,655,22,28,0,61,23900,37855,37855,Kansas,Plains,Private,Distant Town,2113,1750,363,3,6,52,43,58,59,100,100,25,25
Bentley University,7493,3281,974,89,27,540,630,26,30,0,44,41110,56930,56930,Massachusetts,New England,Private,Small City,4247,4142,105,3,7,40,81,86,87,77,69,17,17
Berea College,1620,551,397,15,80,510,630,22,26,0,34,23170,31870,31870,Kentucky,Southeast,Private,Distant Town,1623,1587,36,15,4,57,47,60,62,100,100,91,91
