Name,TotalApps,TotalAdmit,TotalEnroll,SATPercent,ACTPercent,SAT25,SAT75,ACT25,ACT75,AssocDegree,PercentAdmit,Tuition14,InStateTuition14,OutofStateTuition14,State,Region,Type,Location,UnderGradEnroll,FTUnderGradEnroll,PTUnderGradEnroll,BlackPercent,LatinPercent,WomenPercent,4yrGradRate,5yrGradRate,6yrGradRate,FinAidPercent,AnyFinAidPercent,FedGrantPercent,PellGrantPercent
North Carolina Central University,8886,4472,1407,90,9,390,460,16,19,0,50,5526,18547,29120,North Carolina,Southeast,Public,Midsize City,6220,5297,923,83,3,67,15,33,40,97,89,77,76
North Carolina State University at Raleigh,20700,10353,4398,76,19,550,640,25,30,92,50,8206,22184,35639,North Carolina,Southeast,Public,Large City,24536,21469,3067,7,4,44,41,68,74,71,55,22,21
North Carolina Wesleyan College,1634,764,222,71,29,370,470,15,20,0,47,26632,37812,37812,North Carolina,Southeast,Private,Small City,1602,1232,370,49,2,59,23,32,33,84,76,56,55
North Central University,501,477,246,13,91,460,550,19,26,3,95,19996,30248,30248,Minnesota,Plains,Private,Large City,1301,1088,213,3,5,54,17,40,44,100,100,46,46
North Dakota State University-Main Campus,5812,4888,2553,4,98,490,625,21,26,0,84,7660,19460,30042,North Dakota,Plains,Public,Midsize City,11948,10707,1241,3,1,44,26,46,53,88,58,21,21
North Greenville University,1782,1032,505,68,62,450,670,21,29,0,58,14772,30000,30000,South Carolina,Southeast,Private,Fringe Rural,2257,1993,264,7,2,50,41,53,55,100,100,40,40
Northeastern University,47364,15301,2891,53,33,640,730,30,33,22,32,41686,58096,58096,Massachusetts,New England,Private,Large City,13223,13204,19,3,7,51,0,79,83,77,72,16,15
Northern Arizona University,33989,31057,4772,64,50,470,580,20,25,0,91,9738,22746,35101,Arizona,Southwest,Public,Small City,22160,18577,3583,3,19,58,30,45,49,83,66,37,37
Northern Illinois University,25914,14545,2679,3,96,450,550,19,24,0,56,12976,28342,37438,Illinois,Great Lakes,Public,Small Suburb,15814,13821,1993,17,13,50,26,45,51,96,92,50,50
Northern Kentucky University,7064,3299,2107,15,96,440,560,19,25,98,47,8376,19186,27274,Kentucky,Southeast,Public,Large Suburb,12794,9736,3058,7,2,55,14,31,38,95,86,39,38
Northland College,1058,625,140,16,91,485,630,21,27,0,59,29990,40950,40950,Wisconsin,Great Lakes,Private,Remote Town,552,538,14,1,5,52,52,58,58,100,100,47,47
Northwest Christian University,318,224,82,87,35,450,535,18,23,1,70,24930,37470,37470,Oregon,Far West,Private,Midsize City,484,382,102,2,8,64,42,42,44,100,100,51,49
Northwest Missouri State University,5680,4113,1260,2,98,450,570,20,25,61,72,6390,17376,22377,Missouri,Plains,Public,Remote Town,5542,4988,554,6,3,55,27,45,48,95,93,39,39
Northwest Nazarene University,1227,757,261,78,66,460,590,21,28,0,62,26550,36550,36550,Idaho,Rocky Mountains,Private,Midsize Suburb,1488,1136,352,2,7,56,32,44,49,100,100,40,40
Northwest University,465,452,218,26,78,480,600,19,28,8,97,25934,36174,36174,Washington,Far West,Private,Large Suburb,1438,1221,217,3,8,59,37,43,43,99,99,57,57
Northwestern College,1221,929,284,17,91,423,605,21,27,0,76,26764,39236,39236,Iowa,Plains,Private,Distant Town,1233,1133,100,2,6,57,53,62,63,100,100,37,35
Northwestern State University of Louisiana,2812,2362,1231,6,89,430,518,19,24,331,84,6207,18436,28556,Louisiana,Southeast,Public,Remote Town,7836,5013,2823,27,5,68,19,34,38,95,91,48,48
Northwestern University,32060,4912,2037,64,60,690,760,31,34,0,15,45527,63193,63193,Illinois,Great Lakes,Private,Small City,9283,8489,794,6,10,51,86,93,94,63,54,14,14
Norwich University,3081,1956,599,77,32,470,570,21,26,0,63,33371,49655,49655,Vermont,New England,Private,Distant Town,2456,2228,228,3,6,28,51,56,57,100,99,28,28
Notre Dame College,2468,2227,338,23,80,398,500,18,22,0,90,26344,38502,38502,Ohio,Great Lakes,Private,Large Suburb,1989,1405,584,21,2,55,18,36,39,100,99,49,48
Notre Dame de Namur University,1922,1676,172,77,45,430,550,18,22,0,87,31126,49038,49038,California,Far West,Private,Large Suburb,1213,826,387,6,34,67,36,47,48,100,97,49,49
Notre Dame of Maryland University,838,416,104,86,12,470,590,20,23,0,50,32050,45650,45650,Maryland,Mid East,Private,Large City,1234,525,709,28,6,95,45,51,53,99,99,58,58
Nova Southeastern University,4328,2487,673,73,50,470,590,21,27,1,57,25430,43580,43580,Florida,Southeast,Private,Large Suburb,5156,3452,1704,21,32,71,25,37,41,98,97,42,42
Nyack College,700,677,264,72,13,400,535,17,22,9,97,23250,36532,36532,New York,Mid East,Private,Large Suburb,1831,1515,316,29,28,61,24,39,42,100,100,58,58
Oakland City University,652,475,108,56,48,430,530,19,24,41,73,19200,30800,30800,Indiana,Great Lakes,Private,Distant Town,2311,461,1850,2,2,61,41,48,53,100,100,53,53
Oakwood University,2728,937,409,47,58,410,513,17,22,2,34,16234,36295,36295,Alabama,Southeast,Private,Midsize City,1861,1771,90,85,2,57,19,31,37,94,91,53,53
Oberlin College,7438,2262,781,71,42,650,740,28,32,0,30,46870,62132,62132,Ohio,Great Lakes,Private,Fringe Town,2894,2855,39,5,7,55,76,88,89,88,83,10,10
Occidental College,6072,2574,548,80,46,600,700,27,31,0,42,46652,63363,63363,California,Far West,Private,Large City,2128,2113,15,4,16,56,83,86,88,69,65,21,21
Oglethorpe University,4403,2455,282,76,52,520,630,22,27,0,56,31280,46430,46430,Georgia,Southeast,Private,Large Suburb,1091,992,99,18,10,57,55,61,62,97,97,38,38
Ohio Christian University,1455,1413,719,14,89,400,490,17,23,168,97,17720,33418,33418,Ohio,Great Lakes,Private,Distant Town,3528,1748,1780,28,2,61,16,31,33,61,60,48,48
Ohio Dominican University,2652,1310,239,18,92,440,540,20,24,70,49,28932,42087,42087,Ohio,Great Lakes,Private,Large City,2005,1391,614,22,3,58,29,40,41,100,100,52,49
Ohio Northern University,3325,2256,613,95,22,490,620,23,29,0,68,36720,50960,50960,Ohio,Great Lakes,Private,Fringe Town,2702,2194,508,3,2,48,53,66,69,99,97,29,29
Ohio State University-Main Campus,31359,17413,7130,39,83,540,660,27,31,0,56,10037,25479,41199,Ohio,Great Lakes,Public,Large City,44201,40020,4181,6,3,47,59,81,83,83,72,19,19
Ohio University-Main Campus,20765,15149,4244,28,89,480,600,22,26,139,73,10446,24396,33360,Ohio,Great Lakes,Public,Distant Town,23504,16756,6748,5,2,60,48,64,66,79,58,26,25
Ohio Valley University,904,329,91,33,78,410,520,19,23,24,36,18750,28850,28850,West Virginia,Southeast,Private,Small City,410,372,38,7,3,46,22,40,40,99,99,46,46
Ohio Wesleyan University,4029,3035,541,49,68,490,620,22,27,0,75,40510,55690,55690,Ohio,Great Lakes,Private,Large Suburb,1830,1809,21,6,5,54,54,62,63,99,99,24,24
Oklahoma Baptist University,6560,3704,580,19,87,460,600,21,27,0,56,21842,33400,33400,Oklahoma,Southwest,Private,Distant Town,2019,1868,151,5,5,59,47,54,55,99,99,39,39
Oklahoma Christian University,1984,1254,533,32,84,460,620,22,28,0,63,18800,29825,29825,Oklahoma,Southwest,Private,Large City,1962,1874,88,4,3,49,28,46,49,99,98,28,28
Oklahoma City University,1442,1038,351,35,81,490,620,23,29,0,72,29426,44356,44356,Oklahoma,Southwest,Private,Large City,1964,1754,210,6,8,62,49,59,61,96,92,33,23
Oklahoma State University-Main Campus,11064,8411,3872,27,90,490,600,22,28,0,76,7442,21842,34427,Oklahoma,Southwest,Public,Distant Town,20660,17793,2867,5,5,49,33,55,60,87,77,28,27
Oklahoma Wesleyan University,2335,1152,187,33,78,410,520,18,24,21,49,22252,34960,34960,Oklahoma,Southwest,Private,Distant Town,1214,571,643,7,7,61,50,57,57,100,100,47,45
Old Dominion University,10201,7833,2943,81,25,460,560,18,23,0,77,8550,22267,37927,Virginia,Southeast,Public,Midsize City,19819,15102,4717,26,7,54,23,45,51,82,82,37,37
Olivet College,1995,1027,301,3,98,370,420,17,22,0,51,23021,34181,34181,Michigan,Great Lakes,Private,Distant Rural,1119,982,137,10,5,43,26,41,43,99,99,65,52
Oral Roberts University,1417,617,399,40,55,460,570,20,25,0,44,22508,36950,36950,Oklahoma,Southwest,Private,Large City,2884,2517,367,15,8,56,41,51,53,98,96,37,37
Oregon Institute of Technology,2778,1982,363,84,33,440,550,20,25,56,71,8548,21163,34803,Oregon,Far West,Public,Remote Town,4366,2341,2025,1,7,48,18,38,43,89,70,40,40
Oregon State University,12414,9799,3516,76,34,480,600,21,27,0,79,8322,23559,38751,Oregon,Far West,Public,Small City,23157,18484,4673,1,7,46,30,55,61,86,70,31,31
Ottawa University-Ottawa,267,264,145,11,93,390,530,19,25,0,99,23964,36482,36482,Kansas,Plains,Private,Distant Town,538,522,16,10,6,44,22,30,34,100,100,37,37
Otterbein University,3176,2342,575,23,89,490,590,21,26,0,74,31424,44276,44276,Ohio,Great Lakes,Private,Large Suburb,2479,2206,273,6,2,62,2,53,59,100,100,32,32
Ouachita Baptist University,1740,1220,394,19,91,440,550,21,27,0,70,22370,32610,32610,Arkansas,Southeast,Private,Distant Town,1543,1507,36,8,4,53,48,59,60,99,99,29,29
Our Lady of the Lake University,3789,2486,341,78,39,400,490,14,21,0,66,23938,37078,37078,Texas,Southwest,Private,Large City,1555,1312,243,8,73,72,19,31,34,97,97,67,67
Pace University-New York,12885,9900,1848,90,9,470,570,21,25,47,77,38069,56999,56999,New York,Mid East,Private,Large City,8289,7116,1173,11,16,59,34,49,51,99,99,43,42
Pacific Lutheran University,3443,2643,648,86,32,490,610,22,28,0,77,34740,48308,48308,Washington,Far West,Private,Large Suburb,3142,3010,132,3,7,62,55,68,70,99,98,29,29
Pacific Union College,2103,1063,335,79,30,450,570,18,25,130,51,27480,39852,39852,California,Far West,Private,Fringe Rural,1645,1454,191,8,27,56,24,34,37,100,100,50,50
Pacific University,2658,2291,421,87,47,490,600,21,27,0,86,37024,50486,50486,Oregon,Far West,Private,Large Suburb,1785,1729,56,1,10,58,52,60,62,99,98,29,29
Paine College,2771,1213,268,52,56,340,430,14,18,0,44,13332,23850,23850,Georgia,Southeast,Private,Midsize City,924,838,86,91,2,49,4,16,21,99,97,84,84
Palm Beach Atlantic University,1618,1361,587,75,64,470,590,20,26,0,84,25532,39302,39302,Florida,Southeast,Private,Midsize City,2887,2358,529,13,13,63,40,46,48,100,100,35,35
Paul Quinn College,632,623,70,34,51,360,440,13,18,0,99,13525,26300,26300,Texas,Southwest,Private,Large City,243,216,27,87,11,54,1,5,5,71,71,65,59
Paul Smiths College of Arts and Science,970,725,240,78,20,450,530,20,25,80,75,25261,40021,40021,New York,Mid East,Private,Distant Rural,981,969,12,1,3,34,26,36,37,99,99,48,48
Pennsylvania State University-Main Campus,47552,25772,7649,78,14,530,630,25,29,26,54,16992,33592,46166,Pennsylvania,Mid East,Public,Small City,40085,38826,1259,4,5,46,65,83,85,68,38,15,14
Pennsylvania State University-Penn State Abington,3221,2504,691,90,5,390,510,18,24,34,78,13608,,,Pennsylvania,Mid East,Public,Large Suburb,3690,2888,802,13,9,53,26,44,48,86,68,51,51
Pennsylvania State University-Penn State Altoona,5700,4856,1379,90,6,440,530,19,23,61,85,14240,30840,37902,Pennsylvania,Mid East,Public,Small City,3861,3645,216,9,4,47,48,67,71,83,53,33,32
Pennsylvania State University-Penn State Beaver,670,585,208,89,7,420,530,16,24,2,87,13470,30070,36676,Pennsylvania,Mid East,Public,Large Suburb,703,626,77,11,4,39,25,40,45,92,77,42,41
Pennsylvania State University-Penn State Berks,2570,2135,814,90,6,430,530,19,25,50,83,14240,30840,37902,Pennsylvania,Mid East,Public,Large Suburb,2712,2402,310,9,10,44,35,54,56,81,55,34,34
Pennsylvania State University-Penn State Brandywine,1279,1011,368,89,8,420,520,17,23,7,79,13608,,,Pennsylvania,Mid East,Public,Large Suburb,1492,1253,239,14,5,43,17,39,44,89,77,39,38
Pennsylvania State University-Penn State Dubois,439,386,183,88,1,420,520,20,22,83,88,13354,,,Pennsylvania,Mid East,Public,Remote Town,704,557,147,2,2,48,33,50,54,95,83,43,43
Pennsylvania State University-Penn State Erie-Behrend College,3437,2890,1080,81,12,460,560,19,25,70,84,14240,30840,37902,Pennsylvania,Mid East,Public,Midsize Suburb,3943,3683,260,4,3,35,46,66,69,83,61,33,33
Pennsylvania State University-Penn State Fayette- Eberly,610,544,224,91,2,410,520,18,21,113,89,13412,,,Pennsylvania,Mid East,Public,Fringe Rural,846,653,193,4,2,56,21,37,43,94,85,51,51
Pennsylvania State University-Penn State Greater Allegheny,699,558,201,86,5,410,520,18,24,0,80,13464,30064,36670,Pennsylvania,Mid East,Public,Large Suburb,623,562,61,18,5,46,24,40,47,92,80,52,51
Pennsylvania State University-Penn State Harrisburg,2792,2232,628,82,5,440,550,22,24,8,80,14240,30840,37902,Pennsylvania,Mid East,Public,Large Suburb,3577,3121,456,10,6,43,39,56,61,75,60,33,33
Pennsylvania State University-Penn State Hazleton,1179,1018,433,93,4,410,520,20,24,68,86,13550,30150,36826,Pennsylvania,Mid East,Public,Small Suburb,951,881,70,16,15,48,30,50,53,94,77,46,46
Pennsylvania State University-Penn State Lehigh Valley,909,777,225,93,5,430,550,19,28,6,85,13602,,,Pennsylvania,Mid East,Public,Large Suburb,889,719,170,4,14,43,36,51,56,84,67,42,41
Pennsylvania State University-Penn State Mont Alto,827,684,325,88,4,410,530,20,23,127,83,13470,30070,36676,Pennsylvania,Mid East,Public,Fringe Town,1022,737,285,10,4,60,33,51,56,95,76,42,41
Pennsylvania State University-Penn State New Kensington,477,352,154,93,4,430,550,16,27,40,74,13412,,,Pennsylvania,Mid East,Public,Fringe Rural,680,524,156,4,1,42,34,51,55,93,87,32,32
Pennsylvania State University-Penn State Schuylkill,693,562,248,90,3,360,485,18,21,32,81,13550,30150,36826,Pennsylvania,Mid East,Public,Distant Town,837,658,179,21,6,61,24,40,45,93,87,64,62
Pennsylvania State University-Penn State Shenango,229,159,90,61,17,400,480,15,22,49,69,13318,,,Pennsylvania,Mid East,Public,Large Suburb,568,315,253,8,1,67,14,28,31,99,94,68,68
Pennsylvania State University-Penn State Wilkes-Barre,472,387,148,94,4,430,550,19,23,18,82,13354,,,Pennsylvania,Mid East,Public,Fringe Rural,606,519,87,4,6,27,30,44,50,94,81,36,34
Pennsylvania State University-Penn State Worthington Scranton,722,591,282,91,2,420,520,19,22,71,82,13486,,,Pennsylvania,Mid East,Public,Large Suburb,1178,943,235,3,5,55,22,45,48,93,77,52,52
Pennsylvania State University-Penn State York,1329,1123,300,88,4,410,540,21,25,40,84,13602,,,Pennsylvania,Mid East,Public,Midsize Suburb,1141,822,319,7,6,44,27,46,50,81,66,36,36
Pfeiffer University,1662,1597,218,89,24,410,520,18,22,0,96,24150,37140,37140,North Carolina,Southeast,Private,Distant Rural,951,856,95,16,4,60,33,48,48,100,100,50,50
Philadelphia University,5396,3458,550,77,18,480,570,21,25,39,64,33690,49426,49426,Pennsylvania,Mid East,Private,Large City,2811,2531,280,13,7,65,45,58,58,98,98,29,29
Piedmont College,850,520,255,77,45,450,560,19,24,0,61,20730,34090,34090,Georgia,Southeast,Private,Distant Town,1281,1131,150,10,4,67,40,46,46,99,99,43,43
Plymouth State University,5120,3967,930,93,10,430,530,18,23,0,77,12610,26555,33975,New Hampshire,New England,Public,Remote Town,4065,3795,270,2,3,48,41,54,56,89,65,31,31
Point Loma Nazarene University,3138,2088,647,86,48,520,630,23,28,0,67,30356,44593,44593,California,Far West,Private,Large City,2556,2483,73,3,19,63,62,70,72,93,86,27,27
Point Park University,3237,2393,548,84,32,450,560,19,25,8,74,26170,39800,39800,Pennsylvania,Mid East,Private,Large City,3226,2551,675,16,3,57,42,49,50,99,99,39,39
Point University,934,500,238,63,63,420,535,18,22,161,54,17400,27400,27400,Georgia,Southeast,Private,Distant Town,1439,1291,148,39,3,56,33,47,48,95,89,56,56
Polytechnic Institute of New York University,3444,2591,451,87,18,550,660,28,32,0,75,41328,59570,59570,New York,Mid East,Private,Large City,2155,2033,122,6,9,24,33,52,57,94,93,42,42
Pomona College,7153,996,397,78,51,690,760,31,34,0,14,43580,59730,59730,California,Far West,Private,Large Suburb,1610,1596,14,6,15,52,93,95,96,68,57,20,19
Prairie View A & M University,10747,4548,1464,77,45,370,460,15,20,0,42,6764,17592,26178,Texas,Southwest,Public,Distant Town,6731,6234,497,86,6,58,11,29,37,97,87,74,74
Presbyterian College,1650,1089,296,60,40,490,600,22,28,0,66,33650,46378,46378,South Carolina,Southeast,Private,Distant Town,1123,1087,36,11,1,55,60,68,68,100,100,27,27
Prescott College,399,291,49,79,21,480,640,22,30,0,73,29732,41336,41336,Arizona,Southwest,Private,Small City,545,444,101,1,6,55,23,35,38,94,92,52,52
Presentation College,401,265,131,20,85,380,470,18,22,26,66,17014,28914,28914,South Dakota,Plains,Private,Remote Town,791,536,255,11,5,69,33,40,40,99,96,45,45
Princeton University,26499,1963,1285,86,33,700,800,31,35,0,7,40170,55832,55832,New Jersey,Mid East,Private,Large Suburb,5323,5244,79,8,8,49,88,95,97,60,60,14,14
Providence College,9660,5776,1027,75,28,520,620,23,28,5,60,43245,57625,57625,Rhode Island,New England,Private,Midsize City,4135,3798,337,4,7,56,83,85,85,81,78,15,15
Purdue University-Main Campus,31083,18779,6422,73,54,520,630,24,30,93,60,9992,23242,42044,Indiana,Great Lakes,Public,Midsize Suburb,30446,28659,1787,3,4,42,42,64,70,66,47,20,19
Purdue University-North Central Campus,1639,1183,653,70,24,430,520,17,23,107,72,7186,,,Indiana,Great Lakes,Public,Fringe Rural,6054,2732,3322,5,10,60,8,17,22,82,50,46,46
Queens University of Charlotte,1949,1498,316,81,47,470,560,21,26,49,77,29800,44124,44124,North Carolina,Southeast,Private,Large City,1734,1410,324,18,5,72,44,51,52,97,97,45,35
Quincy University,1078,955,275,3,97,410,500,20,25,0,89,25834,39114,39114,Illinois,Great Lakes,Private,Remote Town,1196,1082,114,10,4,56,39,47,50,100,100,66,50
Quinnipiac University,20699,13914,1803,90,29,490,580,22,27,0,67,39330,55780,55780,Connecticut,New England,Private,Large Suburb,6542,6307,235,4,8,62,72,76,76,89,86,16,15
Radford University,7774,6088,1986,85,28,450,540,18,22,0,78,8976,20700,32865,Virginia,Southeast,Public,Small City,8913,8545,368,10,5,56,41,56,59,75,43,30,26
Ramapo College of New Jersey,6297,3480,901,90,13,490,590,20,26,0,55,13388,29161,37811,New Jersey,Mid East,Public,Large Suburb,5614,4992,622,5,13,56,59,71,73,78,45,23,23
Randolph College,1056,881,216,89,26,490,610,21,28,0,83,32850,46060,46060,Virginia,Southeast,Private,Small City,665,649,16,9,6,64,46,51,52,100,100,33,33
Randolph-Macon College,2997,1909,382,84,21,490,590,21,26,0,64,34850,47740,47740,Virginia,Southeast,Private,Large Suburb,1315,1295,20,10,4,53,57,62,62,100,100,27,26
Reed College,2893,1404,354,84,36,660,750,28,33,0,49,46010,59630,59630,Oregon,Far West,Private,Large City,1395,1356,39,2,11,52,70,80,82,53,46,18,18
Regent University,1238,1054,231,85,28,500,630,19,25,15,85,15838,28368,28368,Virginia,Southeast,Private,Large City,2400,1497,903,21,7,61,21,42,51,100,98,41,41
Regis University,3006,2100,531,30,67,490,600,21,26,0,70,32424,46326,46326,Colorado,Rocky Mountains,Private,Large City,5172,2508,2664,5,17,63,42,56,58,98,98,28,28
Reinhardt University,1111,571,396,66,34,437,590,18,25,6,51,18670,32794,32794,Georgia,Southeast,Private,Fringe Rural,1217,1141,76,17,5,50,21,27,28,92,89,43,43
Rensselaer Polytechnic Institute,16150,6654,1411,74,26,620,720,27,31,0,41,46269,61820,61820,New York,Mid East,Private,Small City,5452,5423,29,2,7,30,65,83,85,95,95,15,15
Rhode Island College,4492,3106,1071,91,7,410,520,17,22,0,69,7602,20053,30751,Rhode Island,New England,Public,Large Suburb,7505,5600,1905,7,12,67,15,34,43,86,67,44,43
Rhodes College,3555,2049,545,47,73,590,690,27,31,0,58,39794,53422,53422,Tennessee,Southeast,Private,Large City,2027,2014,13,6,3,58,74,78,78,95,94,15,15
Rice University,15415,2581,978,80,53,670,760,31,34,0,17,38941,54291,54291,Texas,Southwest,Private,Large City,3965,3904,61,6,15,49,79,90,91,75,60,19,19
Rider University,8078,5806,911,90,24,460,570,19,25,12,72,35270,51670,51670,New Jersey,Mid East,Private,Large Suburb,4425,3791,634,10,10,59,55,64,66,98,97,29,28
Ripon College,1320,992,238,16,89,490,630,21,28,0,75,31604,42769,42769,Wisconsin,Great Lakes,Private,Distant Town,904,888,16,2,6,53,60,73,74,100,100,36,36
Rivier University,914,816,223,97,12,430,500,17,21,140,89,28055,43227,43227,New Hampshire,New England,Private,Small City,1591,891,700,3,5,82,43,55,59,100,99,33,33
Roanoke College,4167,3034,542,83,35,490,600,21,26,0,73,36597,51371,51371,Virginia,Southeast,Private,Midsize Suburb,2029,1964,65,5,3,59,58,63,64,100,98,24,24
Robert Morris University,5689,4580,998,75,11,460,550,21,24,0,81,25114,40755,40755,Pennsylvania,Mid East,Private,Large Suburb,4496,3935,561,7,2,46,41,54,56,100,99,34,34
Roberts Wesleyan College,814,591,206,89,36,450,590,20,25,0,73,27364,40888,40888,New York,Mid East,Private,Large Suburb,1315,1225,90,13,6,70,53,60,61,100,100,44,44
Rochester Institute of Technology,16354,9839,2784,66,34,540,640,25,31,176,60,34424,47627,47627,New York,Mid East,Private,Large Suburb,13880,12106,1774,5,6,32,28,56,66,95,90,31,31
Rockford University,1074,440,113,6,92,363,553,19,25,0,41,26710,38853,38853,Illinois,Great Lakes,Private,Midsize City,972,838,134,7,6,63,25,39,39,100,100,49,49
Rockhurst University,2576,1943,438,8,97,500,640,23,28,0,75,31290,45235,45235,Missouri,Plains,Private,Large City,2241,1546,695,6,5,60,60,68,69,100,100,21,21
Rocky Mountain College,1396,933,238,45,70,450,560,19,25,1,67,23718,35488,35488,Montana,Rocky Mountains,Private,Midsize City,988,947,41,2,4,48,19,38,40,100,100,37,35
Rollins College,4729,2785,477,68,53,550,640,24,29,0,59,41460,59438,59438,Florida,Southeast,Private,Large Suburb,2608,2366,242,6,16,60,61,67,67,86,85,17,17
Roosevelt University,3370,2655,444,13,87,480,630,19,25,0,79,26500,44632,44632,Illinois,Great Lakes,Private,Large City,3658,2731,927,20,19,62,27,38,41,96,94,47,47
Rosemont College,1014,592,112,90,10,410,530,19,23,0,58,30950,46305,46305,Pennsylvania,Mid East,Private,Large Suburb,531,411,120,37,8,67,46,46,46,100,100,52,52
Rust College,3152,437,287,2,77,310,360,13,14,16,14,8900,15400,15400,Mississippi,Southeast,Private,Distant Town,922,854,68,95,0,61,12,19,19,99,97,94,94
Saint Anselm College,3829,2820,508,60,13,540,610,23,27,0,74,35204,50394,50394,New Hampshire,New England,Private,Midsize Suburb,1923,1878,45,2,3,59,71,74,74,98,97,14,14
Saint Augustine's University,2560,1725,327,52,47,330,423,13,17,0,67,17890,31642,31642,North Carolina,Southeast,Private,Large City,1299,1265,34,97,0,50,22,29,29,85,80,68,68
Saint Cloud State University,5638,4900,1703,3,92,435,548,19,24,159,87,7514,19002,26644,Minnesota,Plains,Public,Small City,15134,9860,5274,5,3,52,19,41,47,86,60,39,39
Saint Edward's University,3694,2901,791,66,29,510,610,22,26,0,79,33720,47500,47500,Texas,Southwest,Private,Large City,4089,3442,647,4,37,61,51,67,70,90,86,35,35
Saint Francis University,1679,1277,403,93,44,460,510,20,25,4,76,29992,45038,45038,Pennsylvania,Mid East,Private,Fringe Town,1694,1547,147,6,2,62,57,70,71,98,98,28,28
Saint John Fisher College,4016,2521,521,96,47,480,570,22,27,0,63,28430,41370,41370,New York,Mid East,Private,Large Suburb,2959,2738,221,4,4,60,65,71,72,100,100,29,29
Saint Johns University,1747,1313,497,15,89,475,610,23,28,0,75,37162,48546,48546,Minnesota,Plains,Private,Fringe Rural,1871,1850,21,3,4,0,71,78,79,100,100,18,18
Saint Josephs College,1639,1052,273,49,52,430,540,19,24,3,64,27350,38050,38050,Indiana,Great Lakes,Private,Distant Town,1141,1036,105,9,5,59,36,43,44,100,100,41,41
Saint Joseph's College-New York,3148,2373,547,88,24,470,570,21,25,0,75,21878,,,New York,Mid East,Private,Large City,4529,3591,938,10,12,69,56,70,72,96,95,34,34
Saint Joseph's University,7831,6165,1275,91,26,510,590,22,26,3,79,39040,54772,54772,Pennsylvania,Mid East,Private,Large City,5374,4489,885,7,5,54,70,78,79,97,96,11,11
Saint Louis University,13389,8626,1638,18,87,530,640,25,30,0,64,36726,53438,53438,Missouri,Plains,Private,Large City,12567,7210,5357,6,3,59,61,69,70,93,92,19,19
Saint Martin's University,653,572,159,88,27,470,580,19,25,0,88,30284,44038,44038,Washington,Far West,Private,Midsize Suburb,1428,1111,317,6,11,51,35,47,48,95,95,40,39
Saint Mary-of-the-Woods College,325,317,64,69,31,390,520,15,22,5,98,27672,42362,42362,Indiana,Great Lakes,Private,Fringe Rural,649,384,265,4,1,97,49,60,60,100,100,51,51
Saint Mary's College,1529,1310,437,45,77,500,610,23,28,0,86,34600,47660,47660,Indiana,Great Lakes,Private,Large Suburb,1479,1469,10,1,12,100,67,70,71,98,98,21,21
Saint Mary's College of California,4864,3379,622,80,43,500,600,22,27,1,69,39890,58365,58365,California,Far West,Private,Fringe Rural,3055,2823,232,4,25,59,50,58,60,91,89,25,25
Saint Mary's University of Minnesota,1551,1161,318,5,93,465,550,20,26,0,75,29315,39750,39750,Minnesota,Plains,Private,Distant Town,1932,1307,625,5,5,55,43,54,55,99,99,37,37
Saint Michael's College,4431,3328,512,63,20,530,650,23,28,0,75,39015,50920,50920,Vermont,New England,Private,Midsize Suburb,1998,1959,39,2,4,55,69,74,75,99,98,22,22
Saint Peter's University,6145,3323,610,99,8,410,490,16,21,15,54,32284,47842,47842,New Jersey,Mid East,Private,Large City,2484,2068,416,28,28,61,34,50,53,100,100,64,64
Saint Vincent College,2035,1399,472,95,34,450,570,20,25,0,69,30350,42838,42838,Pennsylvania,Mid East,Private,Large Suburb,1596,1532,64,5,3,48,64,70,70,100,100,31,31
Saint Xavier University,10513,5313,594,4,99,455,570,19,24,0,51,28970,41772,41772,Illinois,Great Lakes,Private,Large City,2920,2452,468,16,23,67,30,45,47,100,100,58,57
Salem College,854,497,174,73,50,510,620,22,27,0,58,24566,41600,41600,North Carolina,Southeast,Private,Midsize City,979,827,152,23,7,95,61,64,64,99,99,51,51
Salem State University,4855,3364,1095,94,3,440,540,19,24,0,69,8130,22084,28224,Massachusetts,New England,Public,Large Suburb,7664,5834,1830,8,10,61,22,39,46,88,71,40,40
Salisbury University,8912,4896,1246,58,17,540,610,22,26,0,55,8128,22368,30714,Maryland,Mid East,Public,Small Suburb,8004,7374,630,12,4,57,47,64,67,88,75,16,16
Salve Regina University,5070,3400,465,62,11,510,590,23,26,0,67,34950,49950,49950,Rhode Island,New England,Private,Large Suburb,2026,1876,150,2,6,70,61,64,64,92,90,26,26
Sam Houston State University,9315,6054,2413,68,42,450,540,19,23,0,65,7022,20024,28520,Texas,Southwest,Public,Distant Town,16255,13359,2896,18,19,59,28,46,51,87,71,46,46
Samford University,3447,2653,765,36,84,500,630,23,28,3,77,26328,40900,40900,Alabama,Southeast,Private,Large Suburb,3013,2850,163,7,7,65,49,64,69,98,98,14,14
San Diego Christian College,561,276,99,76,42,440,570,19,22,19,49,25888,40252,40252,California,Far West,Private,Large Suburb,892,795,97,15,15,53,31,39,41,100,98,67,67
San Diego State University,51163,15970,4139,92,42,480,590,21,26,0,31,6766,25068,36228,California,Far West,Public,Large City,27099,24037,3062,4,29,55,33,59,66,62,48,34,34
